"emp_no","dept_no"
12721,"d004"
12729,"d004"
12739,"d002"
12747,"d004"
12757,"d004"
12765,"d004"
12775,"d004"
12785,"d004"
12794,"d005"
12803,"d001"
12812,"d004"
12821,"d005"
12829,"d004"
12839,"d005"
12849,"d005"
12860,"d004"
12868,"d004"
12877,"d005"
12885,"d005"
12894,"d007"
12903,"d001"
12913,"d005"
12921,"d005"
12932,"d004"
12942,"d004"
12951,"d001"
12960,"d005"
12968,"d004"
12978,"d005"
12988,"d004"
12998,"d005"
13007,"d002"
13016,"d004"
13025,"d004"
13034,"d007"
13045,"d004"
13056,"d007"
13064,"d004"
13075,"d001"
13085,"d005"
13094,"d005"
13102,"d004"
13112,"d001"
13122,"d004"
13133,"d001"
13141,"d004"
13150,"d004"
13160,"d005"
13170,"d002"
13181,"d004"
13192,"d004"
13201,"d001"
13210,"d001"
13218,"d004"
13226,"d004"
13235,"d004"
13244,"d004"
13254,"d004"
13263,"d002"
13273,"d004"
13283,"d005"
13293,"d007"
13301,"d005"
13312,"d005"
13323,"d005"
13333,"d004"
13343,"d002"
13354,"d005"
13365,"d004"
13373,"d002"
13383,"d002"
13393,"d004"
13402,"d005"
13412,"d001"
13422,"d004"
13433,"d002"
13441,"d004"
13450,"d004"
13458,"d004"
13469,"d005"
13480,"d004"
13489,"d007"
13500,"d004"
13510,"d002"
13519,"d007"
13528,"d001"
13538,"d005"
13547,"d004"
13557,"d004"
13567,"d002"
13576,"d005"
13586,"d005"
13595,"d002"
13606,"d007"
13616,"d005"
13626,"d004"
13634,"d004"
13644,"d005"
13654,"d004"
13663,"d005"
13673,"d004"
13681,"d004"
13689,"d005"
13699,"d004"
13708,"d005"
13716,"d005"
13726,"d001"
13735,"d004"
13745,"d004"
13754,"d002"
13763,"d007"
13774,"d005"
13784,"d001"
13794,"d004"
13802,"d002"
13812,"d001"
13822,"d001"
13832,"d004"
13841,"d004"
13850,"d004"
13861,"d005"
13870,"d004"
13880,"d002"
13888,"d005"
13899,"d004"
13909,"d001"
13919,"d004"
13929,"d004"
13940,"d005"
13950,"d004"
13959,"d004"
13967,"d004"
13977,"d004"
13987,"d004"
13996,"d004"
14005,"d005"
14015,"d004"
14025,"d002"
14035,"d005"
14043,"d004"
14053,"d005"
14062,"d004"
14071,"d001"
14080,"d004"
14090,"d004"
14099,"d005"
14108,"d001"
14119,"d007"
14129,"d004"
14140,"d002"
14149,"d005"
14159,"d004"
14170,"d001"
14179,"d007"
14189,"d001"
14200,"d001"
14208,"d001"
14217,"d002"
14227,"d001"
14237,"d004"
14248,"d005"
14257,"d004"
14268,"d001"
14276,"d005"
14287,"d005"
14297,"d004"
14307,"d004"
14315,"d001"
14323,"d004"
14332,"d004"
14341,"d005"
14351,"d004"
14361,"d005"
14372,"d005"
14380,"d005"
14390,"d004"
14400,"d004"
14410,"d004"
14421,"d001"
14429,"d001"
14438,"d004"
14447,"d004"
14457,"d005"
14466,"d005"
14474,"d004"
14484,"d004"
14494,"d004"
14504,"d004"
14513,"d001"
14521,"d004"
14532,"d001"
14542,"d004"
14550,"d001"
14558,"d004"
14567,"d005"
14576,"d004"
14585,"d004"
14596,"d004"
14605,"d004"
14615,"d004"
14626,"d004"
14634,"d004"
14643,"d004"
14653,"d004"
14662,"d001"
14672,"d005"
14683,"d004"
14692,"d004"
14701,"d004"
14711,"d004"
14719,"d004"
14729,"d005"
14738,"d002"
14749,"d005"
14757,"d002"
14767,"d001"
14775,"d005"
14785,"d004"
14795,"d004"
14806,"d005"
14817,"d005"
14828,"d002"
14836,"d001"
14844,"d004"
14855,"d005"
14865,"d007"
14873,"d005"
14881,"d001"
14889,"d001"
14899,"d002"
14908,"d004"
14916,"d001"
14927,"d005"
14937,"d007"
14948,"d002"
14958,"d001"
14968,"d004"
14979,"d007"
14989,"d005"
14999,"d002"
15009,"d005"
15019,"d004"
15028,"d004"
15037,"d005"
15048,"d005"
15057,"d005"
15068,"d005"
15076,"d004"
15084,"d004"
15095,"d001"
15105,"d001"
15115,"d004"
15123,"d005"
15132,"d004"
15141,"d004"
15151,"d001"
15160,"d004"
15170,"d001"
15178,"d002"
15186,"d005"
15194,"d004"
15202,"d004"
15212,"d005"
15222,"d004"
15232,"d004"
15242,"d001"
15252,"d004"
15262,"d005"
15273,"d001"
15282,"d004"
15293,"d004"
15302,"d005"
15312,"d004"
15323,"d005"
15331,"d002"
15341,"d001"
15351,"d001"
15360,"d001"
15370,"d005"
15380,"d005"
15391,"d004"
15400,"d005"
15410,"d001"
15420,"d005"
15429,"d005"
15439,"d004"
15449,"d001"
15457,"d004"
15465,"d004"
15473,"d001"
15483,"d001"
15491,"d004"
15499,"d007"
15508,"d005"
15516,"d004"
15527,"d004"
15537,"d004"
15548,"d005"
15558,"d001"
15568,"d004"
15579,"d004"
15587,"d004"
15595,"d004"
15604,"d002"
15615,"d005"
15625,"d004"
15633,"d001"
15643,"d004"
15652,"d007"
15662,"d004"
15671,"d004"
15680,"d007"
15689,"d004"
15698,"d002"
15707,"d002"
15715,"d001"
15725,"d002"
15734,"d004"
15745,"d005"
15753,"d004"
15763,"d001"
15771,"d004"
15780,"d004"
15791,"d004"
15801,"d005"
15810,"d004"
15819,"d001"
15829,"d004"
15837,"d007"
15845,"d005"
15855,"d004"
15866,"d004"
15875,"d007"
15885,"d004"
15893,"d004"
15901,"d004"
15911,"d004"
15921,"d001"
15932,"d001"
15943,"d004"
15952,"d004"
15961,"d004"
15970,"d005"
15978,"d004"
15989,"d004"
15999,"d004"
16010,"d005"
16019,"d005"
16029,"d004"
16039,"d004"
16050,"d001"
16061,"d004"
16070,"d004"
16079,"d005"
16087,"d004"
16096,"d004"
16104,"d005"
16112,"d007"
16122,"d005"
16132,"d005"
16142,"d004"
16153,"d007"
16164,"d004"
16173,"d001"
16183,"d004"
16192,"d004"
16202,"d004"
16211,"d005"
16222,"d005"
16230,"d004"
16240,"d004"
16250,"d005"
16261,"d004"
16272,"d005"
16283,"d007"
16292,"d004"
16303,"d002"
16314,"d004"
16325,"d005"
16336,"d004"
16344,"d004"
16352,"d004"
16361,"d005"
16371,"d001"
16379,"d004"
16389,"d001"
16399,"d007"
16410,"d004"
16418,"d004"
16428,"d001"
16437,"d001"
16447,"d004"
16456,"d004"
16467,"d005"
16475,"d002"
16484,"d007"
16493,"d001"
16502,"d007"
16512,"d001"
16523,"d007"
16531,"d001"
16540,"d007"
16551,"d005"
16561,"d005"
16569,"d005"
16578,"d004"
16587,"d001"
16596,"d004"
16604,"d004"
16614,"d005"
16623,"d005"
16632,"d004"
16640,"d002"
16649,"d004"
16659,"d001"
16669,"d004"
16679,"d005"
16689,"d005"
16700,"d007"
16711,"d004"
16722,"d007"
16730,"d004"
16740,"d002"
16748,"d004"
16759,"d005"
16768,"d004"
16777,"d005"
16786,"d004"
16795,"d004"
16806,"d007"
16814,"d005"
16822,"d001"
16830,"d005"
16841,"d005"
16852,"d004"
16862,"d004"
16873,"d001"
16881,"d004"
16891,"d001"
16899,"d001"
16910,"d005"
16920,"d004"
16929,"d004"
16938,"d004"
16949,"d001"
16959,"d004"
16970,"d007"
16980,"d001"
16989,"d004"
16999,"d004"
17010,"d002"
17019,"d001"
17030,"d001"
17040,"d004"
17050,"d005"
17059,"d004"
17068,"d005"
17076,"d004"
17084,"d005"
17094,"d005"
17103,"d005"
17112,"d005"
17122,"d004"
17130,"d004"
17140,"d005"
17149,"d001"
17158,"d004"
17166,"d004"
17176,"d001"
17186,"d004"
17194,"d001"
17203,"d004"
17211,"d005"
17221,"d001"
17231,"d004"
17241,"d005"
17250,"d005"
17258,"d004"
17268,"d005"
17279,"d007"
17289,"d004"
17300,"d002"
17311,"d005"
17320,"d004"
17329,"d005"
17339,"d004"
17350,"d004"
17361,"d005"
17369,"d004"
17380,"d004"
17391,"d005"
17400,"d004"
17408,"d004"
17419,"d004"
17429,"d001"
17439,"d004"
17448,"d004"
17456,"d001"
17466,"d001"
17474,"d005"
17483,"d004"
17492,"d005"
17503,"d004"
17512,"d004"
17522,"d004"
17533,"d005"
17542,"d005"
17551,"d004"
17559,"d005"
17569,"d002"
17578,"d004"
17588,"d002"
17597,"d001"
17607,"d001"
17616,"d007"
17624,"d002"
17633,"d004"
17642,"d004"
17653,"d001"
17662,"d001"
17672,"d004"
17683,"d001"
17693,"d004"
17702,"d005"
17712,"d002"
17721,"d001"
17730,"d002"
17738,"d004"
17747,"d002"
17756,"d004"
17766,"d005"
17776,"d002"
17786,"d005"
17794,"d007"
17804,"d004"
17812,"d004"
17822,"d001"
17833,"d001"
17844,"d005"
17853,"d004"
17861,"d005"
17869,"d004"
17878,"d001"
17888,"d004"
17899,"d004"
17908,"d002"
17918,"d004"
17926,"d004"
17937,"d005"
17946,"d004"
17956,"d004"
17964,"d004"
17973,"d005"
17981,"d001"
17990,"d004"
17998,"d007"
18006,"d007"
18015,"d001"
18024,"d001"
18034,"d004"
18042,"d004"
18050,"d004"
18061,"d004"
18070,"d004"
18080,"d004"
18090,"d001"
18100,"d004"
18110,"d004"
18118,"d007"
18129,"d005"
18138,"d005"
18148,"d005"
18157,"d004"
18168,"d004"
18178,"d005"
18188,"d004"
18196,"d004"
18206,"d004"
18214,"d001"
18223,"d004"
18231,"d007"
18241,"d005"
18252,"d004"
18263,"d004"
18273,"d004"
18283,"d007"
18293,"d004"
18304,"d002"
18314,"d001"
18323,"d005"
18332,"d005"
18343,"d004"
18354,"d001"
18362,"d004"
18371,"d004"
18379,"d004"
18390,"d004"
18400,"d004"
18409,"d002"
18418,"d005"
18426,"d001"
18437,"d002"
18445,"d004"
18455,"d004"
18463,"d001"
18474,"d001"
18483,"d004"
18494,"d001"
18504,"d005"
18515,"d002"
18525,"d004"
18535,"d005"
18543,"d004"
18552,"d004"
18562,"d004"
18570,"d004"
18581,"d007"
18590,"d001"
18601,"d002"
18609,"d005"
18619,"d004"
18629,"d005"
18638,"d001"
18648,"d004"
18658,"d004"
18666,"d005"
18677,"d004"
18687,"d004"
18697,"d001"
18705,"d004"
18716,"d005"
18724,"d004"
18732,"d004"
18741,"d004"
18750,"d001"
18759,"d002"
18767,"d005"
18776,"d001"
18786,"d004"
18797,"d004"
18805,"d004"
18813,"d004"
18822,"d005"
18831,"d004"
18840,"d004"
18848,"d001"
18856,"d001"
18866,"d004"
18876,"d004"
18886,"d007"
18895,"d004"
18904,"d005"
18913,"d001"
18923,"d005"
18931,"d007"
18941,"d001"
18951,"d002"
18961,"d004"
18969,"d004"
18979,"d004"
18988,"d002"
18996,"d004"
19004,"d004"
19013,"d001"
19024,"d004"
19035,"d004"
19045,"d005"
19054,"d004"
19064,"d004"
19074,"d005"
19082,"d004"
19092,"d004"
19101,"d005"
19111,"d004"
19121,"d002"
19129,"d004"
19138,"d001"
19149,"d004"
19160,"d007"
19168,"d007"
19179,"d005"
19188,"d004"
19199,"d004"
19210,"d007"
19220,"d001"
19230,"d005"
19239,"d001"
19249,"d004"
19260,"d007"
19270,"d005"
19280,"d004"
19290,"d004"
19299,"d004"
19310,"d005"
19318,"d007"
19328,"d004"
19339,"d005"
19347,"d004"
19356,"d001"
19366,"d002"
19375,"d005"
19383,"d004"
19394,"d002"
19403,"d005"
19414,"d001"
19422,"d004"
19431,"d004"
19440,"d005"
19448,"d007"
19456,"d005"
19464,"d001"
19473,"d001"
19484,"d002"
19492,"d001"
19500,"d001"
19509,"d007"
19518,"d002"
19528,"d007"
19539,"d005"
19547,"d005"
19555,"d005"
19564,"d004"
19574,"d005"
19583,"d004"
19593,"d004"
19603,"d002"
19612,"d001"
19622,"d002"
19632,"d005"
19640,"d004"
19648,"d004"
19658,"d004"
19668,"d007"
19677,"d005"
19686,"d005"
19696,"d002"
19707,"d004"
19718,"d005"
19727,"d004"
19737,"d004"
19748,"d005"
19759,"d004"
19770,"d001"
19779,"d002"
19790,"d002"
19798,"d005"
19808,"d002"
19817,"d002"
19827,"d005"
19836,"d007"
19846,"d007"
19857,"d007"
19868,"d001"
19877,"d004"
19886,"d001"
19897,"d005"
19907,"d002"
19918,"d005"
19929,"d004"
19937,"d002"
19945,"d005"
19955,"d007"
19964,"d004"
19975,"d004"
19984,"d004"
19992,"d004"
20000,"d004"
20009,"d007"
20018,"d004"
20026,"d005"
20036,"d004"
20046,"d004"
20054,"d004"
20063,"d004"
20072,"d004"
20080,"d004"
20088,"d001"
20098,"d001"
20109,"d007"
20117,"d004"
20126,"d007"
20135,"d004"
20143,"d007"
20152,"d004"
20160,"d007"
20170,"d001"
20181,"d001"
20189,"d004"
20198,"d005"
20209,"d001"
20218,"d004"
20229,"d004"
20239,"d007"
20249,"d004"
20258,"d005"
20268,"d002"
20276,"d004"
20285,"d004"
20295,"d004"
20305,"d001"
20315,"d001"
20324,"d004"
20333,"d004"
20342,"d001"
20352,"d002"
20361,"d005"
20370,"d005"
20378,"d001"
20386,"d005"
20397,"d004"
20406,"d002"
20416,"d005"
20424,"d007"
20433,"d005"
20442,"d004"
20452,"d004"
20461,"d005"
20472,"d004"
20481,"d004"
20490,"d005"
20501,"d005"
20511,"d001"
20519,"d001"
20527,"d001"
20536,"d005"
20547,"d005"
20556,"d004"
20566,"d001"
20575,"d004"
20584,"d005"
20594,"d001"
20602,"d004"
20610,"d004"
20620,"d005"
20630,"d004"
20639,"d001"
20648,"d005"
20659,"d002"
20668,"d007"
20677,"d007"
20686,"d004"
20695,"d005"
20705,"d004"
20713,"d004"
20721,"d001"
20731,"d004"
20739,"d002"
20747,"d001"
20758,"d001"
20768,"d002"
20776,"d002"
20786,"d004"
20794,"d004"
20804,"d007"
20814,"d004"
20823,"d001"
20832,"d002"
20841,"d005"
20852,"d004"
20861,"d001"
20871,"d007"
20879,"d001"
20889,"d001"
20898,"d004"
20909,"d007"
20918,"d001"
20926,"d001"
20935,"d004"
20945,"d004"
20955,"d007"
20965,"d004"
20974,"d001"
20983,"d005"
20993,"d005"
21003,"d005"
21012,"d004"
21022,"d004"
21030,"d005"
21040,"d007"
21049,"d007"
21058,"d002"
21067,"d004"
21076,"d004"
21087,"d001"
21097,"d005"
21108,"d007"
21116,"d002"
21125,"d001"
21133,"d001"
21141,"d004"
21150,"d004"
21158,"d005"
21167,"d004"
21175,"d007"
21184,"d004"
21192,"d004"
21200,"d005"
21209,"d001"
21219,"d005"
21228,"d005"
21237,"d001"
21247,"d005"
21256,"d007"
21266,"d001"
21275,"d001"
21283,"d002"
21294,"d004"
21303,"d005"
21311,"d001"
21321,"d004"
21329,"d004"
21339,"d001"
21348,"d005"
21356,"d004"
21364,"d005"
21372,"d001"
21382,"d005"
21391,"d004"
21401,"d004"
21411,"d004"
21421,"d002"
21430,"d004"
21439,"d002"
21450,"d007"
21460,"d004"
21470,"d002"
21479,"d004"
21488,"d005"
21498,"d004"
21508,"d001"
21517,"d001"
21526,"d005"
21537,"d007"
21546,"d001"
21555,"d004"
21564,"d005"
21573,"d002"
21581,"d004"
21590,"d005"
21598,"d001"
21609,"d007"
21619,"d001"
21627,"d001"
21635,"d002"
21645,"d004"
21654,"d004"
21662,"d005"
21672,"d004"
21683,"d007"
21693,"d001"
21703,"d004"
21711,"d007"
21720,"d004"
21729,"d002"
21738,"d004"
21748,"d005"
21758,"d007"
21766,"d004"
21774,"d004"
21783,"d004"
21791,"d004"
21801,"d005"
21811,"d005"
21822,"d007"
21833,"d004"
21842,"d004"
21852,"d004"
21861,"d005"
21870,"d004"
21878,"d001"
21887,"d004"
21897,"d001"
21907,"d007"
21917,"d004"
21927,"d005"
21937,"d001"
21945,"d005"
21953,"d007"
21961,"d005"
21970,"d001"
21978,"d004"
21987,"d002"
21996,"d001"
22006,"d005"
22014,"d004"
22023,"d007"
22032,"d001"
22041,"d004"
22049,"d007"
22060,"d002"
22069,"d007"
22080,"d005"
22091,"d004"
22100,"d001"
22110,"d005"
22120,"d001"
22130,"d001"
22138,"d004"
22146,"d004"
22156,"d005"
22166,"d004"
22176,"d004"
22185,"d004"
22194,"d004"
22203,"d005"
22213,"d005"
22223,"d007"
22233,"d002"
22243,"d001"
22252,"d004"
22262,"d005"
22270,"d005"
22278,"d001"
22289,"d004"
22299,"d002"
22308,"d005"
22317,"d001"
22327,"d005"
22336,"d004"
22346,"d005"
22355,"d001"
22365,"d002"
22376,"d001"
22384,"d004"
22394,"d005"
22404,"d004"
22413,"d005"
22423,"d004"
22431,"d004"
22441,"d004"
22451,"d005"
22461,"d005"
22469,"d005"
22478,"d004"
22487,"d004"
22497,"d004"
22505,"d005"
22516,"d001"
22527,"d005"
22536,"d005"
22547,"d005"
22556,"d005"
22565,"d005"
22575,"d004"
22584,"d004"
22595,"d002"
22604,"d004"
22614,"d005"
22623,"d004"
22633,"d005"
22642,"d005"
22652,"d004"
22663,"d004"
22672,"d005"
22680,"d004"
22688,"d001"
22699,"d004"
22709,"d004"
22719,"d004"
22729,"d004"
22739,"d004"
22749,"d005"
22757,"d004"
22767,"d001"
22775,"d005"
22783,"d007"
22791,"d004"
22801,"d004"
22809,"d004"
22820,"d001"
22830,"d004"
22838,"d005"
22848,"d002"
22859,"d004"
22867,"d007"
22876,"d001"
22886,"d005"
22894,"d007"
22902,"d004"
22911,"d004"
22920,"d004"
22928,"d004"
22939,"d005"
22948,"d001"
22958,"d004"
22968,"d004"
22978,"d001"
22988,"d004"
22998,"d004"
23006,"d005"
23015,"d002"
23025,"d005"
23034,"d005"
23044,"d005"
23053,"d004"
23064,"d004"
23073,"d005"
23082,"d004"
23092,"d004"
23103,"d004"
23114,"d001"
23125,"d001"
23136,"d004"
23146,"d002"
23155,"d004"
23166,"d004"
23176,"d001"
23184,"d004"
23192,"d004"
23201,"d001"
23210,"d005"
23221,"d005"
23232,"d004"
23242,"d007"
23251,"d004"
23262,"d005"
23272,"d004"
23282,"d004"
23290,"d002"
23300,"d001"
23308,"d007"
23317,"d005"
23325,"d001"
23333,"d005"
23342,"d005"
23350,"d004"
23358,"d004"
23369,"d002"
23379,"d005"
23390,"d001"
23400,"d005"
23410,"d005"
23420,"d004"
23431,"d004"
23440,"d005"
23450,"d001"
23460,"d004"
23468,"d004"
23476,"d004"
23485,"d005"
23494,"d001"
23504,"d005"
23515,"d004"
23525,"d007"
23535,"d004"
23544,"d002"
23554,"d004"
23563,"d005"
23572,"d004"
23581,"d002"
23592,"d007"
23602,"d005"
23611,"d001"
23620,"d007"
23631,"d004"
23639,"d005"
23647,"d005"
23657,"d004"
23666,"d004"
23676,"d001"
23684,"d004"
23692,"d004"
23703,"d002"
23712,"d005"
23722,"d004"
23733,"d005"
23744,"d001"
23755,"d004"
23765,"d005"
23776,"d004"
23784,"d005"
23795,"d001"
23803,"d004"
23814,"d001"
23822,"d005"
23831,"d004"
23840,"d004"
23849,"d001"
23857,"d005"
23868,"d001"
23878,"d005"
23888,"d001"
23896,"d002"
23904,"d005"
23913,"d004"
23923,"d005"
23933,"d004"
23943,"d004"
23954,"d004"
23964,"d005"
23975,"d004"
23984,"d005"
23992,"d001"
24002,"d004"
24012,"d004"
24022,"d007"
24032,"d005"
24040,"d001"
24048,"d004"
24057,"d005"
24068,"d002"
24078,"d001"
24087,"d004"
24096,"d005"
24104,"d005"
24114,"d001"
24123,"d002"
24133,"d001"
24141,"d004"
24150,"d001"
24160,"d005"
24169,"d004"
24180,"d001"
24188,"d004"
24198,"d005"
24208,"d001"
24218,"d005"
24228,"d005"
24238,"d004"
24246,"d001"
24254,"d004"
24265,"d001"
24273,"d004"
24283,"d004"
24293,"d002"
24302,"d005"
24313,"d004"
24323,"d004"
24334,"d007"
24342,"d004"
24352,"d004"
24361,"d005"
24369,"d004"
24379,"d005"
24389,"d005"
24397,"d002"
24405,"d001"
24413,"d005"
24422,"d007"
24432,"d001"
24442,"d004"
24451,"d001"
24462,"d005"
24473,"d005"
24483,"d005"
24493,"d004"
24502,"d001"
24511,"d004"
24522,"d002"
24533,"d004"
24544,"d005"
24555,"d001"
24565,"d005"
24576,"d004"
24584,"d004"
24595,"d005"
24604,"d005"
24612,"d004"
24623,"d005"
24632,"d004"
24641,"d005"
24650,"d004"
24658,"d007"
24667,"d004"
24677,"d002"
24686,"d001"
24697,"d005"
24706,"d001"
24716,"d001"
24726,"d004"
24737,"d001"
24746,"d001"
24756,"d001"
24766,"d004"
24775,"d001"
24784,"d004"
24793,"d001"
24803,"d004"
24812,"d002"
24820,"d005"
24828,"d005"
24837,"d004"
24847,"d004"
24855,"d004"
24864,"d004"
24874,"d004"
24883,"d005"
24893,"d004"
24902,"d004"
24910,"d004"
24919,"d004"
24928,"d004"
24939,"d005"
24948,"d005"
24957,"d001"
24965,"d001"
24976,"d001"
24987,"d005"
24997,"d005"
25008,"d004"
25017,"d001"
25026,"d005"
25037,"d004"
25047,"d005"
25057,"d007"
25066,"d001"
25075,"d001"
25083,"d005"
25093,"d005"
25101,"d001"
25110,"d005"
25121,"d004"
25131,"d007"
25142,"d004"
25153,"d004"
25163,"d002"
25174,"d004"
25184,"d001"
25192,"d004"
25200,"d005"
25210,"d004"
25218,"d005"
25229,"d005"
25239,"d001"
25249,"d004"
25257,"d001"
25265,"d005"
25274,"d001"
25285,"d001"
25294,"d001"
25303,"d005"
25314,"d004"
25323,"d005"
25333,"d005"
25344,"d005"
25353,"d004"
25362,"d004"
25372,"d004"
25383,"d002"
25391,"d004"
25399,"d002"
25407,"d004"
25415,"d001"
25426,"d004"
25435,"d002"
25445,"d001"
25455,"d001"
25466,"d001"
25476,"d004"
25486,"d005"
25495,"d005"
25504,"d005"
25514,"d001"
25523,"d001"
25531,"d005"
25539,"d004"
25550,"d005"
25558,"d004"
25569,"d004"
25580,"d001"
25589,"d001"
25597,"d004"
25606,"d004"
25616,"d004"
25624,"d001"
25633,"d001"
25643,"d007"
25653,"d001"
25661,"d007"
25670,"d004"
25680,"d004"
25688,"d005"
25698,"d004"
25706,"d005"
25715,"d001"
25724,"d004"
25734,"d004"
25743,"d004"
25754,"d002"
25763,"d004"
25773,"d005"
25781,"d001"
25791,"d001"
25799,"d001"
25807,"d004"
25815,"d002"
25824,"d004"
25835,"d005"
25843,"d004"
25851,"d004"
25860,"d004"
25869,"d007"
25878,"d001"
25889,"d004"
25898,"d002"
25908,"d007"
25917,"d004"
25926,"d007"
25934,"d004"
25943,"d002"
25953,"d002"
25962,"d004"
25971,"d005"
25980,"d004"
25989,"d004"
26000,"d005"
26010,"d001"
26019,"d004"
26028,"d002"
26036,"d004"
26047,"d007"
26058,"d004"
26069,"d004"
26080,"d005"
26090,"d004"
26098,"d001"
26108,"d001"
26118,"d005"
26126,"d004"
26134,"d004"
26144,"d005"
26155,"d007"
26165,"d004"
26175,"d004"
26183,"d004"
26192,"d004"
26200,"d005"
26209,"d004"
26219,"d005"
26229,"d001"
26237,"d004"
26247,"d004"
26255,"d007"
26266,"d004"
26274,"d004"
26283,"d004"
26293,"d004"
26304,"d004"
26312,"d001"
26322,"d005"
26331,"d004"
26341,"d001"
26351,"d002"
26361,"d004"
26372,"d004"
26382,"d001"
26393,"d007"
26401,"d004"
26411,"d004"
26421,"d004"
26432,"d001"
26442,"d004"
26451,"d002"
26460,"d004"
26468,"d001"
26477,"d004"
26488,"d007"
26497,"d004"
26508,"d004"
26516,"d004"
26525,"d001"
26535,"d005"
26546,"d005"
